[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Address) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent) / TsMemberProperty(join) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_OptsCallbackTDataSelfOptions) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent) / TsMemberProperty(self) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Enable) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent) / TsMemberProperty(maintenance) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NodeCallbackOpts) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent) / TsMemberProperty(forceLeave) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_OptsCallbackTDataChecksOptions) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent) / TsMemberProperty(checks) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_OptsCallbackTDataMembersOptions) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Agent) / TsMemberProperty(members) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Key) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv) / TsMemberProperty(del) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_KeyValue) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv) / TsMemberProperty(set) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_KeyCallback) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv) / TsMemberProperty(delete) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_KeyCallbackOpts) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv) / TsMemberProperty(get) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_KeyCallbackOptsTData) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Kv) / TsMemberProperty(keys) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_NodeCallbackOptsTData) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Node) / TsMemberProperty(services) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_Dc) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Node) / TsMemberProperty(list) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_ServiceCallbackOpts) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Service) / TsMemberProperty(nodes) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DcCallback) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclNamespace(Catalog) / TsDeclInterface(Service) / TsMemberProperty(list) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DcCallbackOpts) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Catalog) / TsMemberProperty(services) / TsTypeObject())] 
[info ] ExtractInterfaces.scala:30 Extracted anonymous interface TsIdentSimple(Anon_DcCallbackOptsTData) [id => consul, phase => typescript, scope => TreeScope(TsParsedFile() / TsDeclModule(consul) / TsDeclNamespace(Consul) / TsDeclInterface(Catalog) / TsMemberProperty(nodes) / TsTypeObject())] 
